Comment,Sentiment
So cringe 😬,0
This made my day 😂,1
Best thing I’ve seen today!,1
Dislike 👎,0
Boring,0
So relatable!,1
Not even a smile,0
This is just not funny,0
Too good 🤣,1
Why is this on my feed?,0
Waste of time,0
This deserves more likes!,1
Boring,0
Not even a smile,0
Dislike 👎,0
Such good vibes!,1
I love this!,1
I can’t stop laughing!,1
This made my day 😂,1
Unfunny content,0
I can’t stop laughing!,1
This is just not funny,0
Boring,0
I love this!,1
Why is this on my feed?,0
This aged badly,0
Not even a smile,0
I love this!,1
Too good 🤣,1
This cracked me up!,1
I don’t get it,0
This is just not funny,0
This made my day 😂,1
Absolutely hilarious,1
This is just not funny,0
I love this!,1
Absolutely hilarious,1
Absolutely hilarious,1
This is just not funny,0
Unfunny content,0
Waste of time,0
Waste of time,0
Best thing I’ve seen today!,1
This deserves more likes!,1
Best thing I’ve seen today!,1
I love this!,1
This deserves more likes!,1
This cracked me up!,1
This is just not funny,0
Unfunny content,0
So cringe 😬,0
So relatable!,1
This deserves more likes!,1
This cracked me up!,1
I can’t stop laughing!,1
Boring,0
Such good vibes!,1
Such good vibes!,1
Not even a smile,0
Unfunny content,0
This made my day 😂,1
Such good vibes!,1
Dislike 👎,0
This deserves more likes!,1
Dislike 👎,0
Boring,0
Best thing I’ve seen today!,1
I don’t get it,0
Absolutely hilarious,1
This is just not funny,0
This aged badly,0
This deserves more likes!,1
This aged badly,0
Why is this on my feed?,0
This made my day 😂,1
Best thing I’ve seen today!,1
Too good 🤣,1
So relatable!,1
This deserves more likes!,1
Why is this on my feed?,0
Best thing I’ve seen today!,1
Too good 🤣,1
I love this!,1
Why is this on my feed?,0
Best thing I’ve seen today!,1
This aged badly,0
Such good vibes!,1
Not even a smile,0
Absolutely hilarious,1
This is just not funny,0
I don’t get it,0
I can’t stop laughing!,1
This is just not funny,0
Boring,0
This made my day 😂,1
This cracked me up!,1
Too good 🤣,1
This cracked me up!,1
I don’t get it,0
This cracked me up!,1
Too good 🤣,1
Absolutely hilarious,1
This made my day 😂,1
This deserves more likes!,1
This cracked me up!,1
This is just not funny,0
Absolutely hilarious,1
This deserves more likes!,1
Unfunny content,0
Too good 🤣,1
Why is this on my feed?,0
Boring,0
This is just not funny,0
Dislike 👎,0
Boring,0
I can’t stop laughing!,1
Best thing I’ve seen today!,1
This cracked me up!,1
This made my day 😂,1
Best thing I’ve seen today!,1
I can’t stop laughing!,1
I can’t stop laughing!,1
Unfunny content,0
This deserves more likes!,1
Such good vibes!,1
This aged badly,0
Absolutely hilarious,1
