Review,Sentiment
A masterpiece,1
I was bored,0
Awful experience,0
I hated this movie,0
A masterpiece,1
Highly recommend it,1
Poor direction,0
Best movie ever,1
Terrible plot and acting,0
Poor direction,0
Amazing storyline and acting,1
I loved this movie,1
It was a waste of time,0
Terrible plot and acting,0
What a great film!,1
Loved every moment,1
Not worth watching,0
Poor direction,0
What a great film!,1
Do not recommend,0
A masterpiece,1
Not worth watching,0
Highly recommend it,1
Outstanding performance,1
Awful experience,0
Terrible plot and acting,0
Poor direction,0
Loved every moment,1
Highly recommend it,1
A masterpiece,1
A masterpiece,1
Awful experience,0
Loved every moment,1
Awful experience,0
Best movie ever,1
Highly recommend it,1
Not worth watching,0
Emotional and powerful,1
Awful experience,0
Emotional and powerful,1
Worst movie ever,0
Terrible plot and acting,0
Amazing storyline and acting,1
Do not recommend,0
Highly recommend it,1
Best movie ever,1
Loved every moment,1
It was a waste of time,0
Terrible plot and acting,0
I was bored,0
Poor direction,0
Not worth watching,0
It was a waste of time,0
I hated this movie,0
It was a waste of time,0
Emotional and powerful,1
Loved every moment,1
Fantastic experience,1
Awful experience,0
Worst movie ever,0
Not worth watching,0
Poor direction,0
Emotional and powerful,1
Emotional and powerful,1
Best movie ever,1
A masterpiece,1
It was a waste of time,0
I loved this movie,1
Terrible plot and acting,0
I loved this movie,1
Poor direction,0
It was a waste of time,0
Worst movie ever,0
Outstanding performance,1
A masterpiece,1
Amazing storyline and acting,1
Fantastic experience,1
Fantastic experience,1
What a great film!,1
I loved this movie,1
Awful experience,0
I loved this movie,1
Emotional and powerful,1
I hated this movie,0
Highly recommend it,1
Emotional and powerful,1
Loved every moment,1
A masterpiece,1
Emotional and powerful,1
Disappointing,0
Do not recommend,0
Awful experience,0
Outstanding performance,1
Worst movie ever,0
Worst movie ever,0
I loved this movie,1
Best movie ever,1
Awful experience,0
A masterpiece,1
Terrible plot and acting,0
I loved this movie,1
Highly recommend it,1
Not worth watching,0
Disappointing,0
Poor direction,0
Disappointing,0
Awful experience,0
Amazing storyline and acting,1
I loved this movie,1
Best movie ever,1
Terrible plot and acting,0
I hated this movie,0
Best movie ever,1
I hated this movie,0
It was a waste of time,0
Awful experience,0
Emotional and powerful,1
A masterpiece,1
I hated this movie,0
What a great film!,1
Terrible plot and acting,0
Worst movie ever,0
Poor direction,0
Terrible plot and acting,0
Disappointing,0
I loved this movie,1
Poor direction,0
Highly recommend it,1
Outstanding performance,1
What a great film!,1
A masterpiece,1
Disappointing,0
Fantastic experience,1
Do not recommend,0
Awful experience,0
Fantastic experience,1
Poor direction,0
Amazing storyline and acting,1
It was a waste of time,0
I was bored,0
I hated this movie,0
A masterpiece,1
Amazing storyline and acting,1
Emotional and powerful,1
It was a waste of time,0
I loved this movie,1
I was bored,0
A masterpiece,1
Terrible plot and acting,0
It was a waste of time,0
Highly recommend it,1
Outstanding performance,1
Best movie ever,1
Not worth watching,0
Disappointing,0
Awful experience,0
What a great film!,1
Outstanding performance,1
What a great film!,1
A masterpiece,1
Outstanding performance,1
Awful experience,0
Best movie ever,1
Emotional and powerful,1
Fantastic experience,1
Fantastic experience,1
I loved this movie,1
Poor direction,0
Amazing storyline and acting,1
Worst movie ever,0
Outstanding performance,1
Do not recommend,0
It was a waste of time,0
What a great film!,1
It was a waste of time,0
A masterpiece,1
A masterpiece,1
Do not recommend,0
A masterpiece,1
Do not recommend,0
Best movie ever,1
I loved this movie,1
Loved every moment,1
I was bored,0
Amazing storyline and acting,1
Poor direction,0
Do not recommend,0
Loved every moment,1
Awful experience,0
Emotional and powerful,1
Emotional and powerful,1
Disappointing,0
Fantastic experience,1
Terrible plot and acting,0
Highly recommend it,1
Outstanding performance,1
It was a waste of time,0
Loved every moment,1
A masterpiece,1
Disappointing,0
Outstanding performance,1
Do not recommend,0
Not worth watching,0
Outstanding performance,1
Awful experience,0
Outstanding performance,1
Fantastic experience,1
Terrible plot and acting,0
Not worth watching,0
What a great film!,1
Amazing storyline and acting,1
Not worth watching,0
Poor direction,0
Amazing storyline and acting,1
